,created_date,tweets,sentiment
0,2019-05-07,Claims Management Companies offer value ?,Neutral
1,2019-05-01,professional indemnity insurance fit purpose ? read Damian Fantato,Positive
2,2019-05-01,adviser rebrand claims management company ? Read Ken Davy,Neutral
3,2019-05-01,James Coney thoughts pension savings,Neutral
4,2019-05-01,See Jeff Prestridge say markets,Neutral
5,2019-05-01,professional indemnity insurers end up default regulator DB transfer advice ?,Positive
6,2019-04-25,makes whistleblower ? read book review : Whistleblowing : Toward New Theory Kate Kenny,Positive
7,2019-04-24,Al ; ison Steed keeping up economics,Neutral
8,2019-04-24,Marlene Outrim asks whether asking right question right question give answer,Positive
9,2019-04-24,lenders offering 95 per cent LTV mortgages ?,Neutral
10,2019-04-18,Jeff Prestridge 's views Jeremy Corbyn,Neutral
11,2019-04-18,James Coney writing debacle # NHS pensions,Neutral
12,2019-04-18,"Ken Davy 's column week , mistakenly classified dead bank Still to…",Negative
13,2019-04-18,Check out Ken Davy 's experience mistakenly classified dead bank,Negative
14,2019-04-15,advisers steer clear insistent clients ?,Positive
15,2019-04-11,Diary Adviser : Amit Patel @ trinity_finance takes us typical working week,Negative
16,2019-04-11,"Mini-bond debacle shows need Isa review , suggests @ dlafantato",Neutral
17,2019-04-11,Trust low advisers - @ simonnread lack trust,Neutral
18,2019-04-11,"LCF scandal highlights mini-bonds ’ failings , writes @ jimconey latest Financial Adviser",Positive
19,2019-04-11,"little time prepare Fos awards , says @ UNIQfw week 's issue",Negative
20,2019-04-11,"Experts criticise new Fos limit , writes @ markkevtaylor",Positive
21,2019-04-11,made Financial Adviser 's Diversity Finance Awards shortlist ?,Neutral
22,2019-04-10,# NHS funding crisis also investment opportunity : find out Paul Major BB Healthcare Trust lookin…,Positive
23,2019-04-10,full consequence change Fos limits starting become apparent . Check out Marlene Outrim's…,Positive
24,2019-04-10,@ jimconey say collapse London Capital & amp ; Finance ?,Neutral
25,2019-04-10,Trust low advisers,Neutral
26,2019-04-08,Government slow care reforms - @ jeffprestridge latest issue Financial Adviser,Positive
27,2019-04-08,"Regulator show understanding PI problem , writes @ dlafantato",Neutral
28,2019-04-08,"Action ambulance chasers welcome , says Ken Davy @ simplybizserves",Positive
29,2019-04-08,CPD : keep wealth family - read earn 30 minutes CPD,Neutral
30,2019-04-08,"increase award limit Fos put advisers out business , due increased PI premiums ?",Negative
31,2019-04-02,Breaking passive herd,Neutral
32,2019-04-02,CPD : navigate pensions tax landscape since freedoms @ AdrianBoulding,Neutral
33,2019-04-02,cash king Brexit looms ? @ sardana_saloni finds out,Neutral
34,2019-04-02,employers support EU staff ? @ Peter__Done answer,Neutral
35,2019-04-02,week 's Mystery Shopper visits Birmingham wants know mother 's move Spain might affect pen…,Positive
36,2019-03-28,week 's Diary Adviser sheds light @ JitenVarsani 's working week,Positive
